#-q0-K for den=0.3, eta=2, T=0.05
# parallel alignment
0.10 20
0.10 50
0.10 60
0.12 40
0.12 45
0.12 50
0.15 10
0.15 20
0.15 25
0.15 30
0.15 35
0.15 40
0.17 25
0.17 30
0.20 10
0.20 20
0.20 25
0.25 10
0.25 12
0.25 14
0.25 16
0.25 18
0.30 10
0.30 12
0.30 14



# lamellar
0.15 45
0.15 50
0.15 55
0.15 60
0.15 65
0.17 40
0.17 45
0.17 50
0.20 30
0.20 35
0.20 40
0.20 45
0.20 50
0.25 18
0.25 20
0.25 22
0.25 24
0.25 26
0.25 28
0.25 30
0.25 32
0.25 34
0.25 35
0.25 36
0.25 38
0.25 40
0.25 42
0.25 44
0.30 14
0.30 16
0.30 18
0.30 20
0.30 22
0.30 24
0.30 26
0.30 28
0.30 30
0.30 32
0.30 34
0.30 36
0.30 38
0.30 40
0.30 42
0.30 44



# half skyrmion (meron)
0.12 140
0.13 100
0.13 120
0.15 75
0.15 80
0.15 90
0.15 100
0.15 120
0.15 140
0.15 160
0.15 180
0.17 60
0.17 65
0.17 70
0.20 45
0.20 50
0.20 55
0.20 60
0.20 70
0.20 80
0.20 90
0.20 100
0.25 40
0.25 42
0.25 44
0.25 45
0.25 46
0.25 48
0.25 50
0.25 55
0.25 60
0.25 65
0.25 70
0.25 75
0.25 80
0.25 85
0.25 90
0.25 100
0.30 44
0.30 46
0.30 48
0.30 50
0.30 55
0.30 60
0.30 65
0.30 70
0.30 75
0.30 80
0.30 85
0.30 90
0.30 95
0.30 100



#defects dispersion
0.10 60
0.10 70
0.10 80
0.10 90
0.10 100
0.10 110
0.10 120
0.12 50
0.12 55
0.12 60
0.12 65
0.12 70
0.12 75
0.12 80
0.15 40
0.15 45
0.15 50
0.17 30
0.17 35
0.17 40



#compartments
0.10 100
0.10 110
0.10 120
0.10 130
0.10 140
0.10 200
0.10 300
0.10 400
0.10 500
0.12 75
0.12 80
0.12 85
0.12 90
0.12 95
0.12 100
0.12 120
0.12 140
0.13 100
0.13 120
0.15 55
0.15 60
0.15 65
0.15 70
0.15 75
0.17 50
0.17 55
0.17 60
